-                   	data                	identity            	time                
458                 	100894              	459                 	2021-12-22 12:45:25.111000
459                 	109400              	460                 	2021-12-22 12:45:25.111000
460                 	109669              	461                 	2021-12-22 12:45:25.127000
461                 	109551              	462                 	2021-12-22 12:45:25.127000
462                 	117900              	463                 	2021-12-22 12:45:25.127000
463                 	109393              	464                 	2021-12-22 12:45:25.127000
464                 	100913              	465                 	2021-12-22 12:45:25.127000
465                 	111484              	466                 	2021-12-22 12:45:25.127000
466                 	108627              	467                 	2021-12-22 12:45:25.127000
467                 	106431              	468                 	2021-12-22 12:45:25.127000
468                 	100972              	469                 	2021-12-22 12:45:25.127000
469                 	109413              	470                 	2021-12-22 12:45:25.127000
470                 	100874              	471                 	2021-12-22 12:45:25.127000
471                 	115770              	472                 	2021-12-22 12:45:25.142000
472                 	109682              	473                 	2021-12-22 12:45:25.142000
473                 	115744              	474                 	2021-12-22 12:45:25.142000
474                 	100933              	475                 	2021-12-22 12:45:25.142000
475                 	100926              	476                 	2021-12-22 12:45:25.142000
476                 	104734              	477                 	2021-12-22 12:45:25.142000
477                 	100920              	478                 	2021-12-22 12:45:25.142000
478                 	100933              	479                 	2021-12-22 12:45:25.142000
479                 	109688              	480                 	2021-12-22 12:45:25.142000
480                 	109760              	481                 	2021-12-22 12:45:25.158000
481                 	100972              	482                 	2021-12-22 12:45:25.158000
482                 	100874              	483                 	2021-12-22 12:45:25.158000
483                 	115023              	484                 	2021-12-22 12:45:25.158000
484                 	100933              	485                 	2021-12-22 12:45:25.158000
485                 	100985              	486                 	2021-12-22 12:45:25.158000
486                 	100933              	487                 	2021-12-22 12:45:25.158000
487                 	105573              	488                 	2021-12-22 12:45:25.158000
488                 	117920              	489                 	2021-12-22 12:45:25.158000
489                 	101942              	490                 	2021-12-22 12:45:25.158000
490                 	112467              	491                 	2021-12-22 12:45:25.174000
491                 	119276              	492                 	2021-12-22 12:45:25.174000
492                 	100952              	493                 	2021-12-22 12:45:25.174000
493                 	104668              	494                 	2021-12-22 12:45:25.174000
494                 	105789              	495                 	2021-12-22 12:45:25.174000
495                 	109878              	496                 	2021-12-22 12:45:25.174000
496                 	109524              	497                 	2021-12-22 12:45:25.174000
